epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.945787339037714,6.9491175,0.09,0.516
1,6.231306751476592,5.30894125,6.196,17.922
2,5.273268486104018,4.17271875,18.124,39.434
3,4.612130219177399,3.5138325,27.206,52.13
4,4.195592772804557,3.17454125,32.838,58.85
5,3.907720657107244,2.89125,37.556,64.134
6,3.668353598469289,2.6472475,42.072,68.47
7,3.516355930638729,2.49842375,44.928,71.264
8,3.4109168619149783,2.49252125,44.942,71.376
9,3.3281511748592436,2.26538875,49.612,75.272
10,3.2675995985318664,2.253789375,50.668,76.184
11,3.2185363832974705,2.2038475,50.66,76.1
12,3.175000458725961,2.170720625,51.5,76.974
13,3.1432154495725007,2.17424625,51.282,76.672
14,3.114527970180278,2.14584,52.38,77.546
15,3.089797761737774,2.02772125,54.288,79.35
16,3.0684590379162997,2.036245,54.378,79.166
17,3.0477851848206168,1.9828425,55.384,80.006
18,3.0337842522056775,1.998943125,55.004,79.78
19,3.015968925329213,1.984133125,55.034,79.852
20,3.0026890272560336,1.9956875,55.386,79.88
21,2.9900183676385566,2.0459725,54.326,78.982
22,2.9775374368172725,1.985190625,55.456,80.174
23,2.967965690710222,1.921173125,56.234,80.724
24,2.956366705580361,1.932606875,56.402,80.602
25,2.945495844530845,1.9572075,55.774,80.248
26,2.9387391406206445,1.919883125,56.376,80.812
27,2.9287130307419407,1.878706875,57.198,81.546
28,2.9203515793797186,1.907818125,57.572,81.32
29,2.9109017863895175,1.871876875,57.55,81.554
30,2.9049163021090334,1.91132625,56.386,80.708
31,2.8969429226159655,1.835935,58.222,82.106
32,2.891748917591806,1.83116875,57.862,82.028
33,2.8819693857529747,1.83289,58.748,82.394
34,2.8775655923991468,1.88920875,57.344,81.342
35,2.8713606098878803,1.816135,58.642,82.252
36,2.8658790373692447,1.807790625,58.886,82.646
37,2.857796967864812,1.89943,57.224,81.14
38,2.850093681582811,1.80419875,59.112,82.774
39,2.846145652322874,1.803345,58.856,82.692
40,2.8407170990988764,1.8125625,58.472,82.606
41,2.83423679922797,1.77816125,59.566,83.086
42,2.8297246154767866,1.749986875,60.424,83.398
43,2.8236076748897485,1.757333125,59.99,83.388
44,2.816341611825839,1.8004025,59.306,82.552
45,2.812461737192977,1.801890625,59.006,82.484
46,2.807485271144276,1.762015,60.048,83.19
47,2.800727654776977,1.72263375,60.522,83.76
48,2.7964930234497,1.758875625,60.028,83.27
49,2.7886529333547636,1.741885,60.19,83.564
50,2.7831096490071854,1.724880625,60.778,83.888
51,2.7804999022792827,1.724665625,60.756,83.806
52,2.775535355851476,1.7097325,60.716,84.028
53,2.7676302589212254,1.75530625,60.13,83.074
